Store,Dept,order,aic,cv_wmae_mean,cv_wmae_std,holdout_wmae,holdout_mae,holdout_rmse,n_missing_weeks
10,29,"(0, 1, 2)",1944.2020755559836,3116.345232008844,1792.0649602319493,1856.8547272635165,1552.284414907315,2149.3389713928777,0
14,29,"(2, 1, 2)",1948.609118490386,2332.4673913637475,1147.6167763741296,2295.7447208929757,2470.742299922295,2675.96622522604,0
7,25,"(0, 1, 2)",1737.6639148422387,1454.3773616838778,790.6443981597821,1284.6813912636114,1310.3521529159766,1634.719181554801,0
4,25,"(1, 1, 2)",1866.1792865521832,1980.747397137582,889.9207614560617,1488.8994096758724,1499.5948293293045,1913.0313846105437,0
15,90,"(2, 1, 2)",1532.7923711195713,587.662972613786,85.22349912344552,664.1887759846958,694.5142955018108,766.7893758828479,0
12,91,"(2, 1, 2)",1565.0162479694777,487.45170897352983,71.06190547739409,1001.0821554750273,961.796994445463,1130.3168632937325,0
36,13,"(1, 1, 2)",1589.370102001586,803.0977577090089,329.5790153253734,424.943239518314,443.0320792506583,524.3022912829857,0
6,33,"(2, 1, 2)",1845.3362343957328,2299.412913184251,829.857102481866,1746.885375780346,1761.3742951940023,2112.61129451742,0
31,49,"(1, 1, 2)",1792.9903394493608,1476.3831802024442,124.81235731187196,1829.0172161825465,1711.1799817690112,2413.871955435587,0
11,67,"(0, 1, 2)",1909.8233729218414,2738.8642448777014,485.6825447032362,2940.218769000838,2759.0205677702406,4112.574100609587,0
33,38,"(1, 1, 2)",1828.0658699720668,1679.6943160912963,172.2188822203435,5298.302668785001,5217.057817492114,5860.036855372565,0
13,6,"(0, 1, 2)",2035.2218932213505,4622.699754170102,3627.621240748811,3080.6586587610313,2855.899707545413,3051.687002563872,0
14,58,"(1, 1, 2)",1849.3775803538902,2288.407815302546,1085.2387605708234,3858.112339845739,3998.51960520551,5678.541063106679,0
20,24,"(2, 1, 2)",1910.872664924958,3714.6570564098233,771.0786872945002,2062.793543028574,2130.118922698782,2672.198481832968,0
27,44,"(2, 1, 2)",1725.2036022777286,1306.1314817419604,759.1316532861574,720.1828901034554,731.6211910516326,861.3754361780175,0
